SETTLEMENTDATE,DUID,SCADAVALUE
2019/08/20 15:05:00,BARCSF1,18.5
2019/08/20 15:05:00,BUTLERSG,9.799998
2019/08/20 15:05:00,CALL_A_4,0.0
2019/08/20 15:05:00,CAPTL_WF,131.272003
2019/08/20 15:05:00,CATHROCK,46.999996
2019/08/20 15:05:00,CHALLHWF,26.599998
2019/08/20 15:05:00,CLOVER,-0.01
2019/08/20 15:05:00,CLUNY,17.43511
2019/08/20 15:05:00,CNUNDAWF,41.047882
2019/08/20 15:05:00,CULLRGWF,30.280001000000002
2019/08/20 15:05:00,ERGT01,0.0
2019/08/20 15:05:00,GB01,0.06778300000000001
2019/08/20 15:05:00,GERMCRK,32.799999
2019/08/20 15:05:00,GRIFSF1,22.199997
2019/08/20 15:05:00,HUGSF1,8.989
2019/08/20 15:05:00,LKBONNY1,75.466415
2019/08/20 15:05:00,LRSF1,9.282001
2019/08/20 15:05:00,MBAHNTH,52.856246999999996
2019/08/20 15:05:00,MLSP1,7.955000999999999
2019/08/20 15:05:00,MLWF1,19.695
2019/08/20 15:05:00,MTMILLAR,28.492781
2019/08/20 15:05:00,PALOONA,7.93
2019/08/20 15:05:00,PIONEER,11.5
2019/08/20 15:05:00,PORTWF,139.300003
2019/08/20 15:05:00,REPULSE,29.208820000000003
2019/08/20 15:05:00,ROWALLAN,9.798
2019/08/20 15:05:00,ROYALLA1,13.953001
2019/08/20 15:05:00,RPCG,10.9
2019/08/20 15:05:00,RUBICON,0.0
2019/08/20 15:05:00,SATGN1,0.0
2019/08/20 15:05:00,SATGS1,0.0
2019/08/20 15:05:00,STARHLWF,30.791021
2019/08/20 15:05:00,WAUBRAWF,94.762001
2019/08/20 15:05:00,WOOLNTH1,109.97001599999999
2019/08/20 15:05:00,WPWF,84.0
2019/08/20 15:05:00,YAMBUKWF,29.0
2019/08/20 15:05:00,YSWF1,28.4
2019/08/20 15:05:00,AGLHAL,0.0
2019/08/20 15:05:00,AGLSOM,0.0
2019/08/20 15:05:00,ANGAST1,0.0
2019/08/20 15:05:00,ARWF1,142.7
2019/08/20 15:05:00,BALBG1,0.0
