SETTLEMENTDATE,DUID,SCADAVALUE
2019/08/20 15:45:00,BARCSF1,18.5
2019/08/20 15:45:00,BUTLERSG,9.799998
2019/08/20 15:45:00,CALL_A_4,0.0
2019/08/20 15:45:00,CAPTL_WF,129.167999
2019/08/20 15:45:00,CATHROCK,46.329997999999996
2019/08/20 15:45:00,CHALLHWF,34.799999
2019/08/20 15:45:00,CLOVER,0.0
2019/08/20 15:45:00,CLUNY,17.625544
2019/08/20 15:45:00,CNUNDAWF,41.648582
2019/08/20 15:45:00,CULLRGWF,30.34
2019/08/20 15:45:00,ERGT01,0.0
2019/08/20 15:45:00,GB01,0.066315
2019/08/20 15:45:00,GERMCRK,32.900002
2019/08/20 15:45:00,GRIFSF1,25.5
2019/08/20 15:45:00,HUGSF1,8.949
2019/08/20 15:45:00,LKBONNY1,-0.895885
2019/08/20 15:45:00,LRSF1,10.426001
2019/08/20 15:45:00,MBAHNTH,52.856246999999996
2019/08/20 15:45:00,MLSP1,5.942001
2019/08/20 15:45:00,MLWF1,19.635
2019/08/20 15:45:00,MTMILLAR,30.955856
2019/08/20 15:45:00,PALOONA,7.78
2019/08/20 15:45:00,PIONEER,11.0
2019/08/20 15:45:00,PORTWF,139.0
2019/08/20 15:45:00,REPULSE,29.216145
2019/08/20 15:45:00,ROWALLAN,9.9542
2019/08/20 15:45:00,ROYALLA1,10.022001
2019/08/20 15:45:00,RPCG,11.7
2019/08/20 15:45:00,RUBICON,0.0
2019/08/20 15:45:00,SATGN1,0.0
2019/08/20 15:45:00,SATGS1,0.0
2019/08/20 15:45:00,STARHLWF,28.991546999999997
2019/08/20 15:45:00,WAUBRAWF,102.749001
2019/08/20 15:45:00,WOOLNTH1,84.890015
2019/08/20 15:45:00,WPWF,67.0
2019/08/20 15:45:00,YAMBUKWF,29.4
2019/08/20 15:45:00,YSWF1,28.6
2019/08/20 15:45:00,AGLHAL,0.0
2019/08/20 15:45:00,AGLSOM,0.0
2019/08/20 15:45:00,ANGAST1,0.0
2019/08/20 15:45:00,ARWF1,105.5
2019/08/20 15:45:00,BALBG1,0.0
2019/08/20 15:45:00,BALBL1,6.29
2019/08/20 15:45:00,BALDHWF1,103.016
2019/08/20 15:45:00,BANN1,57.56
2019/08/20 15:45:00,BARCALDN,0.0
2019/08/20 15:45:00,BARRON-1,0.0
2019/08/20 15:45:00,BARRON-2,25.12
2019/08/20 15:45:00,BASTYAN,80.64001
2019/08/20 15:45:00,BBTHREE1,-1.92
2019/08/20 15:45:00,BBTHREE2,-2.02
2019/08/20 15:45:00,BBTHREE3,-1.07
2019/08/20 15:45:00,BDL01,0.0
2019/08/20 15:45:00,BDL02,0.0
2019/08/20 15:45:00,BERYLSF1,67.59085
2019/08/20 15:45:00,BLOWERNG,0.0
2019/08/20 15:45:00,BLUFF1,48.5
2019/08/20 15:45:00,BNGSF1,104.16
2019/08/20 15:45:00,BNGSF2,20.0
2019/08/20 15:45:00,BOCORWF1,100.64
2019/08/20 15:45:00,BODWF1,85.16306
2019/08/20 15:45:00,BRAEMAR1,0.0
2019/08/20 15:45:00,BRAEMAR2,0.0
2019/08/20 15:45:00,BRAEMAR3,0.0
2019/08/20 15:45:00,BRAEMAR5,0.0
2019/08/20 15:45:00,BRAEMAR6,0.0
2019/08/20 15:45:00,BRAEMAR7,0.0
2019/08/20 15:45:00,BROKENH1,39.93506
2019/08/20 15:45:00,BW01,398.67492999999996
2019/08/20 15:45:00,BW02,482.07507000000004
2019/08/20 15:45:00,BW03,542.375
2019/08/20 15:45:00,BW04,0.0
