SETTLEMENTDATE,DUID,SCADAVALUE
2019/08/21 17:30:00,BARCSF1,7.1
2019/08/21 17:30:00,BUTLERSG,9.599998
2019/08/21 17:30:00,CALL_A_4,0.0
2019/08/21 17:30:00,CAPTL_WF,128.847992
2019/08/21 17:30:00,CATHROCK,35.209998999999996
2019/08/21 17:30:00,CHALLHWF,24.799999
2019/08/21 17:30:00,CLOVER,-0.01
2019/08/21 17:30:00,CLUNY,20.221104
2019/08/21 17:30:00,CNUNDAWF,39.846481
2019/08/21 17:30:00,CULLRGWF,28.209999
2019/08/21 17:30:00,ERGT01,0.0
2019/08/21 17:30:00,GB01,0.069466
2019/08/21 17:30:00,GERMCRK,36.0
2019/08/21 17:30:00,GRIFSF1,1.8000029999999998
2019/08/21 17:30:00,HUGSF1,3.007
2019/08/21 17:30:00,LKBONNY1,66.982025
2019/08/21 17:30:00,LRSF1,4.316
2019/08/21 17:30:00,MBAHNTH,55.856246999999996
2019/08/21 17:30:00,MLSP1,0.27100100000000005
2019/08/21 17:30:00,MLWF1,17.505001
2019/08/21 17:30:00,MTMILLAR,9.286757000000001
2019/08/21 17:30:00,PALOONA,24.619999
2019/08/21 17:30:00,PIONEER,28.300001
2019/08/21 17:30:00,PORTWF,140.899994
2019/08/21 17:30:00,REPULSE,28.701
2019/08/21 17:30:00,ROWALLAN,10.2808
2019/08/21 17:30:00,ROYALLA1,0.236
2019/08/21 17:30:00,RPCG,12.3
2019/08/21 17:30:00,RUBICON,0.0
2019/08/21 17:30:00,SATGN1,0.0
2019/08/21 17:30:00,SATGS1,0.0
2019/08/21 17:30:00,STARHLWF,4.598659
2019/08/21 17:30:00,WAUBRAWF,147.279007
2019/08/21 17:30:00,WOOLNTH1,131.900024
2019/08/21 17:30:00,WPWF,71.0
2019/08/21 17:30:00,YAMBUKWF,29.5
2019/08/21 17:30:00,YSWF1,27.799999
2019/08/21 17:30:00,AGLHAL,0.0
2019/08/21 17:30:00,AGLSOM,0.0
2019/08/21 17:30:00,ANGAST1,0.0
2019/08/21 17:30:00,ARWF1,86.3
2019/08/21 17:30:00,BALBG1,14.23
2019/08/21 17:30:00,BALBL1,0.0
2019/08/21 17:30:00,BALDHWF1,101.214
2019/08/21 17:30:00,BANN1,3.93
2019/08/21 17:30:00,BARCALDN,0.0
2019/08/21 17:30:00,BARRON-1,0.0
2019/08/21 17:30:00,BARRON-2,25.72
2019/08/21 17:30:00,BASTYAN,78.45
2019/08/21 17:30:00,BBTHREE1,-1.81
2019/08/21 17:30:00,BBTHREE2,-1.85
2019/08/21 17:30:00,BBTHREE3,0.0
2019/08/21 17:30:00,BDL01,20.04
2019/08/21 17:30:00,BDL02,0.0
2019/08/21 17:30:00,BERYLSF1,0.67969
2019/08/21 17:30:00,BLOWERNG,0.0
2019/08/21 17:30:00,BLUFF1,38.2
2019/08/21 17:30:00,BNGSF1,39.56
2019/08/21 17:30:00,BNGSF2,12.38
2019/08/21 17:30:00,BOCORWF1,111.02
2019/08/21 17:30:00,BODWF1,98.96037
2019/08/21 17:30:00,BRAEMAR1,0.0
2019/08/21 17:30:00,BRAEMAR2,171.60001
2019/08/21 17:30:00,BRAEMAR3,0.0
2019/08/21 17:30:00,BRAEMAR5,0.0
2019/08/21 17:30:00,BRAEMAR6,0.0
2019/08/21 17:30:00,BRAEMAR7,0.0
2019/08/21 17:30:00,BROKENH1,2.45752
2019/08/21 17:30:00,BW01,641.04993
2019/08/21 17:30:00,BW02,655.52502
2019/08/21 17:30:00,BW03,650.47498
2019/08/21 17:30:00,BW04,0.0
2019/08/21 17:30:00,CALL_B_1,350.10001
2019/08/21 17:30:00,CALL_B_2,350.30002
2019/08/21 17:30:00,CETHANA,99.80112
2019/08/21 17:30:00,CG1,0.0
2019/08/21 17:30:00,CG2,0.0
2019/08/21 17:30:00,CG3,0.0
2019/08/21 17:30:00,CG4,0.0
2019/08/21 17:30:00,CHILDSF1,0.23
2019/08/21 17:30:00,CLARESF1,6.01574
2019/08/21 17:30:00,CLEMGPWF,16.27991
2019/08/21 17:30:00,CLERMSF1,8.26
2019/08/21 17:30:00,COLEASF1,2.5
2019/08/21 17:30:00,COOPGWF1,23.60068
2019/08/21 17:30:00,CPP_3,405.35001
2019/08/21 17:30:00,CPP_4,406.45001
2019/08/21 17:30:00,CPSA,142.55875
2019/08/21 17:30:00,CROOKWF2,91.44499
2019/08/21 17:30:00,CROWLWF1,16.37069
2019/08/21 17:30:00,CSPVPS1,3.485
2019/08/21 17:30:00,DALNTH01,0.0
2019/08/21 17:30:00,DALNTHL1,0.05035
2019/08/21 17:30:00,DARTM1,134.60001
2019/08/21 17:30:00,DAYDSF1,26.819
2019/08/21 17:30:00,DDPS1,296.08398
2019/08/21 17:30:00,DDSF1,0.0
2019/08/21 17:30:00,DEVILS_G,0.0
2019/08/21 17:30:00,DG_NSW1,0.0
2019/08/21 17:30:00,DG_QLD1,0.0
2019/08/21 17:30:00,DG_SA1,0.0
2019/08/21 17:30:00,DG_TAS1,0.0
2019/08/21 17:30:00,DG_VIC1,0.0
2019/08/21 17:30:00,DRYCGT1,0.0
2019/08/21 17:30:00,DRYCGT2,0.0
2019/08/21 17:30:00,DRYCGT3,0.0
2019/08/21 17:30:00,EILDON1,0.0
2019/08/21 17:30:00,EILDON2,0.0
2019/08/21 17:30:00,EMERASF1,5.9
2019/08/21 17:30:00,ER01,579.22498
2019/08/21 17:30:00,ER02,606.125
2019/08/21 17:30:00,ER03,699.17493
2019/08/21 17:30:00,ER04,682.69995
2019/08/21 17:30:00,FINLYSF1,0.0
2019/08/21 17:30:00,FISHER,45.98
