SETTLEMENTDATE,DUID,SCADAVALUE
2019/08/23 02:50:00,BARCSF1,0.0
2019/08/23 02:50:00,BUTLERSG,9.699999
2019/08/23 02:50:00,CALL_A_4,0.0
2019/08/23 02:50:00,CAPTL_WF,0.0
2019/08/23 02:50:00,CATHROCK,44.149998
2019/08/23 02:50:00,CHALLHWF,0.0
2019/08/23 02:50:00,CLOVER,-0.01
2019/08/23 02:50:00,CLUNY,20.378576000000002
2019/08/23 02:50:00,CNUNDAWF,1.001168
2019/08/23 02:50:00,CULLRGWF,1.93
2019/08/23 02:50:00,ERGT01,0.0
2019/08/23 02:50:00,GB01,0.066196
2019/08/23 02:50:00,GERMCRK,37.400002
2019/08/23 02:50:00,GRIFSF1,0.0
2019/08/23 02:50:00,HUGSF1,-0.237
2019/08/23 02:50:00,LKBONNY1,1.2503309999999999
2019/08/23 02:50:00,LRSF1,-0.013
2019/08/23 02:50:00,MBAHNTH,54.61874399999999
2019/08/23 02:50:00,MLSP1,0.180001
2019/08/23 02:50:00,MLWF1,1.53
2019/08/23 02:50:00,MTMILLAR,9.368611
2019/08/23 02:50:00,PALOONA,28.58
2019/08/23 02:50:00,PIONEER,48.5
2019/08/23 02:50:00,PORTWF,14.0
2019/08/23 02:50:00,REPULSE,29.000076
2019/08/23 02:50:00,ROWALLAN,10.5222
2019/08/23 02:50:00,ROYALLA1,0.0
2019/08/23 02:50:00,RPCG,11.3
2019/08/23 02:50:00,RUBICON,0.0
2019/08/23 02:50:00,SATGN1,0.0
2019/08/23 02:50:00,SATGS1,0.0
2019/08/23 02:50:00,STARHLWF,0.999708
2019/08/23 02:50:00,WAUBRAWF,22.209
2019/08/23 02:50:00,WOOLNTH1,22.250014999999998
2019/08/23 02:50:00,WPWF,1.0
2019/08/23 02:50:00,YAMBUKWF,4.9
2019/08/23 02:50:00,YSWF1,0.0
2019/08/23 02:50:00,AGLHAL,0.0
2019/08/23 02:50:00,AGLSOM,0.0
2019/08/23 02:50:00,ANGAST1,0.0
2019/08/23 02:50:00,ARWF1,1.6
2019/08/23 02:50:00,BALBG1,0.0
2019/08/23 02:50:00,BALBL1,7.03
2019/08/23 02:50:00,BALDHWF1,9.645
2019/08/23 02:50:00,BANN1,0.0
2019/08/23 02:50:00,BARCALDN,0.0
2019/08/23 02:50:00,BARRON-1,0.0
2019/08/23 02:50:00,BARRON-2,0.0
2019/08/23 02:50:00,BASTYAN,78.15001
2019/08/23 02:50:00,BBTHREE1,-1.97
2019/08/23 02:50:00,BBTHREE2,-1.96
2019/08/23 02:50:00,BBTHREE3,-1.04
2019/08/23 02:50:00,BDL01,0.0
2019/08/23 02:50:00,BDL02,0.0
2019/08/23 02:50:00,BERYLSF1,-0.19032000000000002
2019/08/23 02:50:00,BLOWERNG,0.0
2019/08/23 02:50:00,BLUFF1,3.6
2019/08/23 02:50:00,BNGSF1,0.0
2019/08/23 02:50:00,BNGSF2,0.0
2019/08/23 02:50:00,BOCORWF1,28.08
2019/08/23 02:50:00,BODWF1,76.16060999999999
2019/08/23 02:50:00,BRAEMAR1,0.0
2019/08/23 02:50:00,BRAEMAR2,0.0
2019/08/23 02:50:00,BRAEMAR3,0.0
2019/08/23 02:50:00,BRAEMAR5,0.0
2019/08/23 02:50:00,BRAEMAR6,0.0
2019/08/23 02:50:00,BRAEMAR7,0.0
2019/08/23 02:50:00,BROKENH1,0.0
2019/08/23 02:50:00,BW01,595.875
2019/08/23 02:50:00,BW02,629.34998
2019/08/23 02:50:00,BW03,616.52502
2019/08/23 02:50:00,BW04,0.0
2019/08/23 02:50:00,CALL_B_1,330.0
2019/08/23 02:50:00,CALL_B_2,349.20001
2019/08/23 02:50:00,CETHANA,98.1845
2019/08/23 02:50:00,CG1,0.0
2019/08/23 02:50:00,CG2,0.0
2019/08/23 02:50:00,CG3,0.0
2019/08/23 02:50:00,CG4,0.0
2019/08/23 02:50:00,CHILDSF1,0.0
2019/08/23 02:50:00,CLARESF1,0.0
2019/08/23 02:50:00,CLEMGPWF,19.59352
2019/08/23 02:50:00,CLERMSF1,0.0
2019/08/23 02:50:00,COLEASF1,0.0
2019/08/23 02:50:00,COOPGWF1,35.32825
2019/08/23 02:50:00,CPP_3,404.52499
2019/08/23 02:50:00,CPP_4,405.625
2019/08/23 02:50:00,CPSA,142.49937
2019/08/23 02:50:00,CROOKWF2,2.26625
2019/08/23 02:50:00,CROWLWF1,4.44928
2019/08/23 02:50:00,CSPVPS1,0.0
2019/08/23 02:50:00,DALNTH01,0.0
2019/08/23 02:50:00,DALNTHL1,5.98306
2019/08/23 02:50:00,DARTM1,134.39999
2019/08/23 02:50:00,DAYDSF1,0.0
2019/08/23 02:50:00,DDPS1,255.1015
2019/08/23 02:50:00,DDSF1,0.0
2019/08/23 02:50:00,DEVILS_G,0.0
2019/08/23 02:50:00,DG_NSW1,0.0
2019/08/23 02:50:00,DG_QLD1,0.0
2019/08/23 02:50:00,DG_SA1,0.0
2019/08/23 02:50:00,DG_TAS1,0.0
2019/08/23 02:50:00,DG_VIC1,0.0
2019/08/23 02:50:00,DRYCGT1,0.0
2019/08/23 02:50:00,DRYCGT2,0.0
2019/08/23 02:50:00,DRYCGT3,0.0
2019/08/23 02:50:00,EILDON1,0.0
2019/08/23 02:50:00,EILDON2,0.0
2019/08/23 02:50:00,EMERASF1,0.0
2019/08/23 02:50:00,ER01,485.22497999999996
2019/08/23 02:50:00,ER02,349.82495
2019/08/23 02:50:00,ER03,370.42505
2019/08/23 02:50:00,ER04,494.875
2019/08/23 02:50:00,FINLYSF1,0.0
2019/08/23 02:50:00,FISHER,45.82
2019/08/23 02:50:00,GANNBG1,0.0
2019/08/23 02:50:00,GANNBL1,8.04354
2019/08/23 02:50:00,GANNSF1,0.0
2019/08/23 02:50:00,GORDON,107.34303
2019/08/23 02:50:00,GSTONE1,189.34999
2019/08/23 02:50:00,GSTONE2,200.2
2019/08/23 02:50:00,GSTONE3,190.22499
2019/08/23 02:50:00,GSTONE4,149.45
2019/08/23 02:50:00,GSTONE5,200.02499
2019/08/23 02:50:00,GSTONE6,0.0
2019/08/23 02:50:00,GULLRSF1,0.0
2019/08/23 02:50:00,GULLRWF1,5.0994
2019/08/23 02:50:00,GUNNING1,1.75232
2019/08/23 02:50:00,GUTHEGA,0.0
2019/08/23 02:50:00,HALLWF1,18.6
2019/08/23 02:50:00,HALLWF2,7.68
2019/08/23 02:50:00,HAMISF1,0.0
2019/08/23 02:50:00,HAUGHT11,0.0
2019/08/23 02:50:00,HAYMSF1,0.0
2019/08/23 02:50:00,HDWF1,33.2
2019/08/23 02:50:00,HDWF2,40.4
2019/08/23 02:50:00,HDWF3,35.1
2019/08/23 02:50:00,HPRG1,0.0
2019/08/23 02:50:00,HPRL1,22.0
2019/08/23 02:50:00,HUMENSW,0.0
2019/08/23 02:50:00,HUMEV,8.3
2019/08/23 02:50:00,HVGTS,0.0
2019/08/23 02:50:00,JBUTTERS,140.61
2019/08/23 02:50:00,JLA01,0.1
2019/08/23 02:50:00,JLA02,0.0
2019/08/23 02:50:00,JLA03,0.1
2019/08/23 02:50:00,JLA04,0.1
2019/08/23 02:50:00,JLB01,0.0
2019/08/23 02:50:00,JLB02,0.1
2019/08/23 02:50:00,JLB03,0.0
2019/08/23 02:50:00,KAREEYA1,21.52
2019/08/23 02:50:00,KAREEYA2,21.615
2019/08/23 02:50:00,KAREEYA3,0.0
2019/08/23 02:50:00,KAREEYA4,21.7375
2019/08/23 02:50:00,KARSF1,0.0
2019/08/23 02:50:00,KIATAWF1,-0.3
2019/08/23 02:50:00,KPP_1,0.0
2019/08/23 02:50:00,KSP1,0.0
2019/08/23 02:50:00,LADBROK1,0.0
2019/08/23 02:50:00,LADBROK2,0.0
2019/08/23 02:50:00,LD01,350.68118
2019/08/23 02:50:00,LD02,297.67502
2019/08/23 02:50:00,LD03,345.22495
2019/08/23 02:50:00,LD04,348.13129
2019/08/23 02:50:00,LEM_WIL,86.1945
2019/08/23 02:50:00,LGAPWF1,2.97
2019/08/23 02:50:00,LILYSF1,0.0
2019/08/23 02:50:00,LI_WY_CA,149.52238
2019/08/23 02:50:00,LKBONNY2,0.95996
2019/08/23 02:50:00,LKBONNY3,1.61884
2019/08/23 02:50:00,LK_ECHO,0.0
2019/08/23 02:50:00,LNGS1,0.0
2019/08/23 02:50:00,LNGS2,0.0
2019/08/23 02:50:00,LONSDALE,0.0
2019/08/23 02:50:00,LOYYB1,535.33673
2019/08/23 02:50:00,LOYYB2,581.9544099999999
2019/08/23 02:50:00,LYA1,559.0
2019/08/23 02:50:00,LYA2,0.0
2019/08/23 02:50:00,LYA3,559.0
2019/08/23 02:50:00,LYA4,539.0
2019/08/23 02:50:00,MACARTH1,0.0
2019/08/23 02:50:00,MACKAYGT,0.0
2019/08/23 02:50:00,MACKNTSH,86.39001
2019/08/23 02:50:00,MANSLR1,0.0
2019/08/23 02:50:00,MCKAY1,0.02
2019/08/23 02:50:00,MEADOWBK,33.95304
2019/08/23 02:50:00,MERCER01,-0.283
2019/08/23 02:50:00,MEWF1,33.082370000000004
2019/08/23 02:50:00,MINTARO,0.0
2019/08/23 02:50:00,MOREESF1,0.0
2019/08/23 02:50:00,MORTLK11,226.0
2019/08/23 02:50:00,MORTLK12,0.0
2019/08/23 02:50:00,MP1,279.95007000000004
2019/08/23 02:50:00,MP2,0.0
2019/08/23 02:50:00,MPP_1,375.75
2019/08/23 02:50:00,MPP_2,420.0
2019/08/23 02:50:00,MSTUART1,0.0
2019/08/23 02:50:00,MSTUART2,0.0
2019/08/23 02:50:00,MSTUART3,0.0
2019/08/23 02:50:00,MTGELWF1,-0.46236000000000005
2019/08/23 02:50:00,MURRAY,109.28
2019/08/23 02:50:00,MUSSELR1,6.8
2019/08/23 02:50:00,MUWAWF1,-0.1
2019/08/23 02:50:00,NBHWF1,27.1
2019/08/23 02:50:00,NPS,204.75
2019/08/23 02:50:00,NUMURSF1,0.0
2019/08/23 02:50:00,NYNGAN1,0.0
2019/08/23 02:50:00,OAKEY1,0.0
2019/08/23 02:50:00,OAKEY1SF,0.0
2019/08/23 02:50:00,OAKEY2,0.0
2019/08/23 02:50:00,OAKLAND1,-0.4
2019/08/23 02:50:00,OSB-AG,141.74001
2019/08/23 02:50:00,PARSF1,0.0
2019/08/23 02:50:00,POAT110,0.0
2019/08/23 02:50:00,POAT220,1.18
2019/08/23 02:50:00,POR01,0.0
2019/08/23 02:50:00,POR03,0.0
2019/08/23 02:50:00,PPCCGT,497.02466
2019/08/23 02:50:00,PTSTAN1,0.0
2019/08/23 02:50:00,PUMP1,0.0
2019/08/23 02:50:00,PUMP2,0.0
2019/08/23 02:50:00,QPS1,0.0
2019/08/23 02:50:00,QPS2,0.0
2019/08/23 02:50:00,QPS3,0.0
2019/08/23 02:50:00,QPS4,0.0
2019/08/23 02:50:00,QPS5,0.0
2019/08/23 02:50:00,REECE1,119.58001000000002
2019/08/23 02:50:00,REECE2,118.72001000000002
2019/08/23 02:50:00,ROMA_7,0.0
2019/08/23 02:50:00,ROMA_8,0.0
2019/08/23 02:50:00,RRSF1,0.0
2019/08/23 02:50:00,RT_NSW1,0.0
2019/08/23 02:50:00,RT_NSW2,0.0
2019/08/23 02:50:00,RT_NSW3,0.0
2019/08/23 02:50:00,RT_NSW4,0.0
2019/08/23 02:50:00,RT_NSW5,0.0
2019/08/23 02:50:00,RT_NSW6,0.0
2019/08/23 02:50:00,RT_QLD1,0.0
2019/08/23 02:50:00,RT_SA1,0.0
2019/08/23 02:50:00,RT_SA2,0.0
2019/08/23 02:50:00,RT_SA3,0.0
2019/08/23 02:50:00,RT_SA4,0.0
2019/08/23 02:50:00,RT_SA5,0.0
2019/08/23 02:50:00,RT_SA6,0.0
2019/08/23 02:50:00,RT_TAS1,0.0
2019/08/23 02:50:00,RT_VIC1,0.0
2019/08/23 02:50:00,RT_VIC10,0.0
2019/08/23 02:50:00,RT_VIC11,0.0
2019/08/23 02:50:00,RT_VIC12,0.0
2019/08/23 02:50:00,RT_VIC2,0.0
2019/08/23 02:50:00,RT_VIC3,0.0
2019/08/23 02:50:00,RT_VIC4,0.0
2019/08/23 02:50:00,RT_VIC5,0.0
2019/08/23 02:50:00,RT_VIC6,0.0
2019/08/23 02:50:00,RT_VIC7,0.0
2019/08/23 02:50:00,RT_VIC8,0.0
2019/08/23 02:50:00,RT_VIC9,0.0
2019/08/23 02:50:00,RUGBYR1,0.0
2019/08/23 02:50:00,SALTCRK1,0.13
2019/08/23 02:50:00,SAPHWF1,29.568759999999997
2019/08/23 02:50:00,SHGEN,0.0
2019/08/23 02:50:00,SHPUMP,0.0
2019/08/23 02:50:00,SITHE01,0.19405
2019/08/23 02:50:00,SMCSF1,0.0
2019/08/23 02:50:00,SNOWNTH1,16.0
2019/08/23 02:50:00,SNOWSTH1,35.3
2019/08/23 02:50:00,SNOWTWN1,25.4017
2019/08/23 02:50:00,SNOWYP,0.0
2019/08/23 02:50:00,SNUG1,0.01944
2019/08/23 02:50:00,SRSF1,0.0
2019/08/23 02:50:00,STAN-1,0.0
2019/08/23 02:50:00,STAN-2,216.87717999999998
2019/08/23 02:50:00,STAN-3,219.01775
2019/08/23 02:50:00,STAN-4,223.27325
2019/08/23 02:50:00,STWF1,158.10751000000002
2019/08/23 02:50:00,SWAN_E,0.0
2019/08/23 02:50:00,TALWA1,425.0
2019/08/23 02:50:00,TARALGA1,5.7225
2019/08/23 02:50:00,TARONG#1,233.60001
2019/08/23 02:50:00,TARONG#2,232.5
2019/08/23 02:50:00,TARONG#3,199.3
2019/08/23 02:50:00,TARONG#4,237.10001
2019/08/23 02:50:00,TARRALEA,83.9
2019/08/23 02:50:00,TBSF1,-0.2
2019/08/23 02:50:00,TNPS1,400.00003
2019/08/23 02:50:00,TORRA1,74.38668
2019/08/23 02:50:00,TORRA2,0.0
2019/08/23 02:50:00,TORRA3,0.0
2019/08/23 02:50:00,TORRA4,0.0
2019/08/23 02:50:00,TORRB1,0.0
2019/08/23 02:50:00,TORRB2,139.10001
2019/08/23 02:50:00,TORRB3,0.0
2019/08/23 02:50:00,TORRB4,0.0
2019/08/23 02:50:00,TREVALLN,43.90002
2019/08/23 02:50:00,TRIBUTE,84.97
2019/08/23 02:50:00,TUMUT3,0.0
2019/08/23 02:50:00,TUNGATIN,139.42003
2019/08/23 02:50:00,TVCC201,0.0
2019/08/23 02:50:00,TVPP104,0.0
2019/08/23 02:50:00,UPPTUMUT,0.0
2019/08/23 02:50:00,URANQ11,0.0
2019/08/23 02:50:00,URANQ12,0.0
2019/08/23 02:50:00,URANQ13,0.0
2019/08/23 02:50:00,URANQ14,0.0
2019/08/23 02:50:00,VP5,476.82500999999996
2019/08/23 02:50:00,VP6,451.64999000000006
2019/08/23 02:50:00,VPGS1,0.0
2019/08/23 02:50:00,VPGS2,0.0
2019/08/23 02:50:00,VPGS3,0.0
2019/08/23 02:50:00,VPGS4,0.0
2019/08/23 02:50:00,VPGS5,0.0
2019/08/23 02:50:00,VPGS6,0.0
2019/08/23 02:50:00,W/HOE#1,0.0
2019/08/23 02:50:00,W/HOE#2,0.0
2019/08/23 02:50:00,WATERLWF,16.7
2019/08/23 02:50:00,WEMENSF1,0.0
2019/08/23 02:50:00,WGWF1,13.2
2019/08/23 02:50:00,WHITSF1,0.0
2019/08/23 02:50:00,WKIEWA1,28.0
2019/08/23 02:50:00,WKIEWA2,18.2
2019/08/23 02:50:00,WOODLWN1,0.0
2019/08/23 02:50:00,WRSF1,0.0
2019/08/23 02:50:00,WRWF1,39.53001
2019/08/23 02:50:00,YABULU,0.0
2019/08/23 02:50:00,YABULU2,0.0
2019/08/23 02:50:00,YARWUN_1,0.0
2019/08/23 02:50:00,YENDWF1,-1.07
2019/08/23 02:50:00,YWPS1,360.14935
2019/08/23 02:50:00,YWPS2,278.69366
2019/08/23 02:50:00,YWPS3,0.0
2019/08/23 02:50:00,YWPS4,0.0
