SETTLEMENTDATE,DUID,SCADAVALUE
2019/08/22 22:15:00,BARCSF1,0.0
2019/08/22 22:15:00,BUTLERSG,9.699999
2019/08/22 22:15:00,CALL_A_4,0.0
2019/08/22 22:15:00,CAPTL_WF,35.192001
2019/08/22 22:15:00,CATHROCK,4.0
2019/08/22 22:15:00,CHALLHWF,3.3
2019/08/22 22:15:00,CLOVER,-0.01
2019/08/22 22:15:00,CLUNY,20.121309
2019/08/22 22:15:00,CNUNDAWF,0.0
2019/08/22 22:15:00,CULLRGWF,7.11
2019/08/22 22:15:00,ERGT01,0.0
2019/08/22 22:15:00,GB01,0.068298
2019/08/22 22:15:00,GERMCRK,35.5
2019/08/22 22:15:00,GRIFSF1,0.0
2019/08/22 22:15:00,HUGSF1,-0.237
2019/08/22 22:15:00,LKBONNY1,-0.449338
2019/08/22 22:15:00,LRSF1,-0.013
2019/08/22 22:15:00,MBAHNTH,44.493744
2019/08/22 22:15:00,MLSP1,0.180001
2019/08/22 22:15:00,MLWF1,1.32
2019/08/22 22:15:00,MTMILLAR,5.796782
2019/08/22 22:15:00,PALOONA,28.68
2019/08/22 22:15:00,PIONEER,43.299999
2019/08/22 22:15:00,PORTWF,8.3
2019/08/22 22:15:00,REPULSE,28.891432000000002
2019/08/22 22:15:00,ROWALLAN,10.3234
2019/08/22 22:15:00,ROYALLA1,0.0
2019/08/22 22:15:00,RPCG,11.1
2019/08/22 22:15:00,RUBICON,0.0
2019/08/22 22:15:00,SATGN1,0.0
2019/08/22 22:15:00,SATGS1,0.0
2019/08/22 22:15:00,STARHLWF,-0.099971
2019/08/22 22:15:00,WAUBRAWF,35.201
2019/08/22 22:15:00,WOOLNTH1,34.590015
2019/08/22 22:15:00,WPWF,0.0
2019/08/22 22:15:00,YAMBUKWF,-0.2
2019/08/22 22:15:00,YSWF1,1.3
2019/08/22 22:15:00,AGLHAL,0.0
2019/08/22 22:15:00,AGLSOM,81.4
2019/08/22 22:15:00,ANGAST1,0.0
2019/08/22 22:15:00,ARWF1,38.7
2019/08/22 22:15:00,BALBG1,0.0
2019/08/22 22:15:00,BALBL1,0.0
2019/08/22 22:15:00,BALDHWF1,32.571
2019/08/22 22:15:00,BANN1,0.0
2019/08/22 22:15:00,BARCALDN,0.0
2019/08/22 22:15:00,BARRON-1,0.0
2019/08/22 22:15:00,BARRON-2,28.84
2019/08/22 22:15:00,BASTYAN,77.65001
2019/08/22 22:15:00,BBTHREE1,-2.22
2019/08/22 22:15:00,BBTHREE2,-2.2
2019/08/22 22:15:00,BBTHREE3,-1.31
2019/08/22 22:15:00,BDL01,-0.18
2019/08/22 22:15:00,BDL02,-0.18
2019/08/22 22:15:00,BERYLSF1,-0.17944000000000002
2019/08/22 22:15:00,BLOWERNG,0.0
2019/08/22 22:15:00,BLUFF1,3.6
2019/08/22 22:15:00,BNGSF1,0.0
2019/08/22 22:15:00,BNGSF2,0.0
2019/08/22 22:15:00,BOCORWF1,56.57
2019/08/22 22:15:00,BODWF1,65.11334000000001
2019/08/22 22:15:00,BRAEMAR1,0.0
2019/08/22 22:15:00,BRAEMAR2,0.0
2019/08/22 22:15:00,BRAEMAR3,0.0
2019/08/22 22:15:00,BRAEMAR5,0.0
2019/08/22 22:15:00,BRAEMAR6,0.0
2019/08/22 22:15:00,BRAEMAR7,150.58158999999998
2019/08/22 22:15:00,BROKENH1,0.0
2019/08/22 22:15:00,BW01,655.17505
2019/08/22 22:15:00,BW02,657.59998
2019/08/22 22:15:00,BW03,661.5
2019/08/22 22:15:00,BW04,0.0
2019/08/22 22:15:00,CALL_B_1,0.0
2019/08/22 22:15:00,CALL_B_2,350.0
2019/08/22 22:15:00,CETHANA,97.88512
2019/08/22 22:15:00,CG1,0.0
2019/08/22 22:15:00,CG2,0.0
2019/08/22 22:15:00,CG3,0.0
2019/08/22 22:15:00,CG4,0.0
2019/08/22 22:15:00,CHILDSF1,0.0
2019/08/22 22:15:00,CLARESF1,0.0
2019/08/22 22:15:00,CLEMGPWF,3.24158
2019/08/22 22:15:00,CLERMSF1,0.0
2019/08/22 22:15:00,COLEASF1,0.0
2019/08/22 22:15:00,COOPGWF1,36.02615
2019/08/22 22:15:00,CPP_3,404.80002
2019/08/22 22:15:00,CPP_4,407.55002
2019/08/22 22:15:00,CPSA,143.40376
2019/08/22 22:15:00,CROOKWF2,9.21376
2019/08/22 22:15:00,CROWLWF1,12.69862
2019/08/22 22:15:00,CSPVPS1,0.0
2019/08/22 22:15:00,DALNTH01,0.0
2019/08/22 22:15:00,DALNTHL1,7.00237
2019/08/22 22:15:00,DARTM1,134.39999
2019/08/22 22:15:00,DAYDSF1,0.0
2019/08/22 22:15:00,DDPS1,595.2655599999999
2019/08/22 22:15:00,DDSF1,0.0
2019/08/22 22:15:00,DEVILS_G,0.0
2019/08/22 22:15:00,DG_NSW1,0.0
2019/08/22 22:15:00,DG_QLD1,0.0
2019/08/22 22:15:00,DG_SA1,0.0
2019/08/22 22:15:00,DG_TAS1,0.0
2019/08/22 22:15:00,DG_VIC1,0.0
2019/08/22 22:15:00,DRYCGT1,0.0
2019/08/22 22:15:00,DRYCGT2,0.0
2019/08/22 22:15:00,DRYCGT3,0.0
2019/08/22 22:15:00,EILDON1,0.0
2019/08/22 22:15:00,EILDON2,0.0
2019/08/22 22:15:00,EMERASF1,0.0
2019/08/22 22:15:00,ER01,593.57495
2019/08/22 22:15:00,ER02,691.07507
2019/08/22 22:15:00,ER03,675.15002
2019/08/22 22:15:00,ER04,689.77502
2019/08/22 22:15:00,FINLYSF1,0.0
2019/08/22 22:15:00,FISHER,45.94
2019/08/22 22:15:00,GANNBG1,0.0
2019/08/22 22:15:00,GANNBL1,0.03391
2019/08/22 22:15:00,GANNSF1,0.0
2019/08/22 22:15:00,GORDON,107.0524
2019/08/22 22:15:00,GSTONE1,266.69998
2019/08/22 22:15:00,GSTONE2,229.95
2019/08/22 22:15:00,GSTONE3,250.59999
2019/08/22 22:15:00,GSTONE4,266.69998
2019/08/22 22:15:00,GSTONE5,267.92499
2019/08/22 22:15:00,GSTONE6,0.0
2019/08/22 22:15:00,GULLRSF1,0.0
2019/08/22 22:15:00,GULLRWF1,17.63266
2019/08/22 22:15:00,GUNNING1,3.1028
2019/08/22 22:15:00,GUTHEGA,0.0
2019/08/22 22:15:00,HALLWF1,35.05
2019/08/22 22:15:00,HALLWF2,19.32
2019/08/22 22:15:00,HAMISF1,0.0
2019/08/22 22:15:00,HAUGHT11,0.0
2019/08/22 22:15:00,HAYMSF1,0.0
2019/08/22 22:15:00,HDWF1,72.0
2019/08/22 22:15:00,HDWF2,59.2
2019/08/22 22:15:00,HDWF3,59.3
2019/08/22 22:15:00,HPRG1,0.7
2019/08/22 22:15:00,HPRL1,0.0
2019/08/22 22:15:00,HUMENSW,0.0
2019/08/22 22:15:00,HUMEV,8.4
2019/08/22 22:15:00,HVGTS,0.0
2019/08/22 22:15:00,JBUTTERS,137.66
2019/08/22 22:15:00,JLA01,0.1
2019/08/22 22:15:00,JLA02,0.0
2019/08/22 22:15:00,JLA03,0.1
2019/08/22 22:15:00,JLA04,0.1
2019/08/22 22:15:00,JLB01,0.0
2019/08/22 22:15:00,JLB02,0.1
2019/08/22 22:15:00,JLB03,27.1
2019/08/22 22:15:00,KAREEYA1,21.5075
2019/08/22 22:15:00,KAREEYA2,21.6875
2019/08/22 22:15:00,KAREEYA3,0.0
2019/08/22 22:15:00,KAREEYA4,21.78
2019/08/22 22:15:00,KARSF1,0.0
2019/08/22 22:15:00,KIATAWF1,7.3
2019/08/22 22:15:00,KPP_1,0.0
2019/08/22 22:15:00,KSP1,0.0
2019/08/22 22:15:00,LADBROK1,43.09
2019/08/22 22:15:00,LADBROK2,42.45
2019/08/22 22:15:00,LD01,420.91873
2019/08/22 22:15:00,LD02,421.4812
2019/08/22 22:15:00,LD03,419.92505
2019/08/22 22:15:00,LD04,377.26867999999996
2019/08/22 22:15:00,LEM_WIL,86.23735
2019/08/22 22:15:00,LGAPWF1,1.12
2019/08/22 22:15:00,LILYSF1,0.0
2019/08/22 22:15:00,LI_WY_CA,148.75941
2019/08/22 22:15:00,LKBONNY2,-1.0764200000000002
2019/08/22 22:15:00,LKBONNY3,-0.16921
2019/08/22 22:15:00,LK_ECHO,0.0
2019/08/22 22:15:00,LNGS1,0.0
2019/08/22 22:15:00,LNGS2,0.0
2019/08/22 22:15:00,LONSDALE,0.0
2019/08/22 22:15:00,LOYYB1,536.08862
2019/08/22 22:15:00,LOYYB2,583.45825
2019/08/22 22:15:00,LYA1,560.0
2019/08/22 22:15:00,LYA2,0.0
2019/08/22 22:15:00,LYA3,560.0
2019/08/22 22:15:00,LYA4,538.0
2019/08/22 22:15:00,MACARTH1,0.0
2019/08/22 22:15:00,MACKAYGT,0.0
2019/08/22 22:15:00,MACKNTSH,86.37
