SETTLEMENTDATE,DUID,SCADAVALUE
2019/08/21 20:40:00,BARCSF1,0.7
2019/08/21 20:40:00,BUTLERSG,9.599998
2019/08/21 20:40:00,CALL_A_4,0.0
2019/08/21 20:40:00,CAPTL_WF,127.268005
2019/08/21 20:40:00,CATHROCK,24.279999
2019/08/21 20:40:00,CHALLHWF,36.799999
2019/08/21 20:40:00,CLOVER,0.0
2019/08/21 20:40:00,CLUNY,20.08835
2019/08/21 20:40:00,CNUNDAWF,41.047882
2019/08/21 20:40:00,CULLRGWF,30.23
2019/08/21 20:40:00,ERGT01,0.0
2019/08/21 20:40:00,GB01,0.071335
2019/08/21 20:40:00,GERMCRK,36.599998
2019/08/21 20:40:00,GRIFSF1,0.0
2019/08/21 20:40:00,HUGSF1,-0.243
2019/08/21 20:40:00,LKBONNY1,72.161964
2019/08/21 20:40:00,LRSF1,0.039
2019/08/21 20:40:00,MBAHNTH,55.856246999999996
2019/08/21 20:40:00,MLSP1,0.27100100000000005
2019/08/21 20:40:00,MLWF1,19.605
2019/08/21 20:40:00,MTMILLAR,16.713186
2019/08/21 20:40:00,PALOONA,23.619999
2019/08/21 20:40:00,PIONEER,32.299999
2019/08/21 20:40:00,PORTWF,140.800003
2019/08/21 20:40:00,REPULSE,28.948807000000002
2019/08/21 20:40:00,ROWALLAN,10.1814
2019/08/21 20:40:00,ROYALLA1,0.0
2019/08/21 20:40:00,RPCG,11.8
2019/08/21 20:40:00,RUBICON,0.0
2019/08/21 20:40:00,SATGN1,0.0
2019/08/21 20:40:00,SATGS1,0.0
2019/08/21 20:40:00,STARHLWF,15.395510999999999
2019/08/21 20:40:00,WAUBRAWF,176.600998
2019/08/21 20:40:00,WOOLNTH1,130.580017
2019/08/21 20:40:00,WPWF,35.0
2019/08/21 20:40:00,YAMBUKWF,28.5
2019/08/21 20:40:00,YSWF1,28.700001
2019/08/21 20:40:00,AGLHAL,0.0
2019/08/21 20:40:00,AGLSOM,0.0
2019/08/21 20:40:00,ANGAST1,0.0
2019/08/21 20:40:00,ARWF1,150.90001
2019/08/21 20:40:00,BALBG1,0.0
2019/08/21 20:40:00,BALBL1,0.0
2019/08/21 20:40:00,BALDHWF1,99.225
2019/08/21 20:40:00,BANN1,0.0
2019/08/21 20:40:00,BARCALDN,0.0
2019/08/21 20:40:00,BARRON-1,0.0
2019/08/21 20:40:00,BARRON-2,27.96
2019/08/21 20:40:00,BASTYAN,78.48
2019/08/21 20:40:00,BBTHREE1,-2.04
2019/08/21 20:40:00,BBTHREE2,-2.08
2019/08/21 20:40:00,BBTHREE3,-1.16
2019/08/21 20:40:00,BDL01,-0.06
2019/08/21 20:40:00,BDL02,0.0
2019/08/21 20:40:00,BERYLSF1,0.0
2019/08/21 20:40:00,BLOWERNG,0.0
2019/08/21 20:40:00,BLUFF1,10.3
2019/08/21 20:40:00,BNGSF1,0.0
2019/08/21 20:40:00,BNGSF2,0.0
2019/08/21 20:40:00,BOCORWF1,109.24
2019/08/21 20:40:00,BODWF1,74.6495
2019/08/21 20:40:00,BRAEMAR1,0.0
2019/08/21 20:40:00,BRAEMAR2,0.0
2019/08/21 20:40:00,BRAEMAR3,0.0
2019/08/21 20:40:00,BRAEMAR5,0.0
2019/08/21 20:40:00,BRAEMAR6,0.0
2019/08/21 20:40:00,BRAEMAR7,0.0
2019/08/21 20:40:00,BROKENH1,0.0
2019/08/21 20:40:00,BW01,648.47498
2019/08/21 20:40:00,BW02,648.94995
2019/08/21 20:40:00,BW03,652.5
2019/08/21 20:40:00,BW04,0.0
2019/08/21 20:40:00,CALL_B_1,349.39999
2019/08/21 20:40:00,CALL_B_2,349.70001
2019/08/21 20:40:00,CETHANA,99.08263000000001
2019/08/21 20:40:00,CG1,0.0
