SETTLEMENTDATE,DUID,SCADAVALUE
2019/08/23 07:30:00,BARCSF1,3.9
2019/08/23 07:30:00,BUTLERSG,9.699999
2019/08/23 07:30:00,CALL_A_4,0.0
2019/08/23 07:30:00,CAPTL_WF,0.0
2019/08/23 07:30:00,CATHROCK,53.759997999999996
2019/08/23 07:30:00,CHALLHWF,0.0
2019/08/23 07:30:00,CLOVER,-0.01
2019/08/23 07:30:00,CLUNY,20.302585999999998
2019/08/23 07:30:00,CNUNDAWF,4.705489
2019/08/23 07:30:00,CULLRGWF,0.5
2019/08/23 07:30:00,ERGT01,0.0
2019/08/23 07:30:00,GB01,0.055930999999999995
2019/08/23 07:30:00,GERMCRK,37.299999
2019/08/23 07:30:00,GRIFSF1,6.299995
2019/08/23 07:30:00,HUGSF1,2.717
2019/08/23 07:30:00,LKBONNY1,6.966130000000001
2019/08/23 07:30:00,LRSF1,-0.013
2019/08/23 07:30:00,MBAHNTH,55.724991
2019/08/23 07:30:00,MLSP1,2.5810009999999997
2019/08/23 07:30:00,MLWF1,4.785
2019/08/23 07:30:00,MTMILLAR,20.426399
2019/08/23 07:30:00,PALOONA,30.42
2019/08/23 07:30:00,PIONEER,44.799999
2019/08/23 07:30:00,PORTWF,45.599998
2019/08/23 07:30:00,REPULSE,28.962234000000002
2019/08/23 07:30:00,ROWALLAN,10.4654
2019/08/23 07:30:00,ROYALLA1,4.961
2019/08/23 07:30:00,RPCG,11.3
2019/08/23 07:30:00,RUBICON,0.0
2019/08/23 07:30:00,SATGN1,0.0
2019/08/23 07:30:00,SATGS1,0.0
2019/08/23 07:30:00,STARHLWF,11.696589
2019/08/23 07:30:00,WAUBRAWF,0.0
2019/08/23 07:30:00,WOOLNTH1,33.760017
2019/08/23 07:30:00,WPWF,23.0
2019/08/23 07:30:00,YAMBUKWF,4.2
2019/08/23 07:30:00,YSWF1,3.4
2019/08/23 07:30:00,AGLHAL,0.0
2019/08/23 07:30:00,AGLSOM,0.0
2019/08/23 07:30:00,ANGAST1,0.0
2019/08/23 07:30:00,ARWF1,-0.2
2019/08/23 07:30:00,BALBG1,0.0
2019/08/23 07:30:00,BALBL1,0.0
2019/08/23 07:30:00,BALDHWF1,26.625
2019/08/23 07:30:00,BANN1,2.79
2019/08/23 07:30:00,BARCALDN,0.0
2019/08/23 07:30:00,BARRON-1,0.0
2019/08/23 07:30:00,BARRON-2,28.48
2019/08/23 07:30:00,BASTYAN,77.91
2019/08/23 07:30:00,BBTHREE1,0.0
2019/08/23 07:30:00,BBTHREE2,-1.96
2019/08/23 07:30:00,BBTHREE3,0.0
2019/08/23 07:30:00,BDL01,41.1
2019/08/23 07:30:00,BDL02,42.9
2019/08/23 07:30:00,BERYLSF1,20.1405
2019/08/23 07:30:00,BLOWERNG,0.0
2019/08/23 07:30:00,BLUFF1,11.7
2019/08/23 07:30:00,BNGSF1,0.62
2019/08/23 07:30:00,BNGSF2,0.16
2019/08/23 07:30:00,BOCORWF1,3.89
2019/08/23 07:30:00,BODWF1,69.45166
2019/08/23 07:30:00,BRAEMAR1,0.0
2019/08/23 07:30:00,BRAEMAR2,173.0
2019/08/23 07:30:00,BRAEMAR3,0.0
2019/08/23 07:30:00,BRAEMAR5,0.0
2019/08/23 07:30:00,BRAEMAR6,159.66563
2019/08/23 07:30:00,BRAEMAR7,0.0
2019/08/23 07:30:00,BROKENH1,2.56006
2019/08/23 07:30:00,BW01,662.32495
2019/08/23 07:30:00,BW02,664.79993
2019/08/23 07:30:00,BW03,669.09998
2019/08/23 07:30:00,BW04,0.0
2019/08/23 07:30:00,CALL_B_1,349.80002
2019/08/23 07:30:00,CALL_B_2,348.60001
2019/08/23 07:30:00,CETHANA,97.58575
2019/08/23 07:30:00,CG1,0.0
2019/08/23 07:30:00,CG2,0.0
2019/08/23 07:30:00,CG3,0.0
2019/08/23 07:30:00,CG4,0.0
2019/08/23 07:30:00,CHILDSF1,26.97
2019/08/23 07:30:00,CLARESF1,0.0
2019/08/23 07:30:00,CLEMGPWF,11.81374
2019/08/23 07:30:00,CLERMSF1,14.65
2019/08/23 07:30:00,COLEASF1,17.5
2019/08/23 07:30:00,COOPGWF1,23.002979999999997
2019/08/23 07:30:00,CPP_3,405.35001
2019/08/23 07:30:00,CPP_4,404.52499
2019/08/23 07:30:00,CPSA,141.58563
2019/08/23 07:30:00,CROOKWF2,-0.00125
2019/08/23 07:30:00,CROWLWF1,-0.25595999999999997
2019/08/23 07:30:00,CSPVPS1,8.271
2019/08/23 07:30:00,DALNTH01,0.0
2019/08/23 07:30:00,DALNTHL1,0.07172
2019/08/23 07:30:00,DARTM1,134.39999
2019/08/23 07:30:00,DAYDSF1,61.527
2019/08/23 07:30:00,DDPS1,478.30951
2019/08/23 07:30:00,DDSF1,29.215740000000004
2019/08/23 07:30:00,DEVILS_G,0.0
2019/08/23 07:30:00,DG_NSW1,0.0
2019/08/23 07:30:00,DG_QLD1,0.0
2019/08/23 07:30:00,DG_SA1,0.0
2019/08/23 07:30:00,DG_TAS1,0.0
2019/08/23 07:30:00,DG_VIC1,0.0
2019/08/23 07:30:00,DRYCGT1,0.0
2019/08/23 07:30:00,DRYCGT2,0.0
2019/08/23 07:30:00,DRYCGT3,0.0
2019/08/23 07:30:00,EILDON1,0.0
2019/08/23 07:30:00,EILDON2,0.0
2019/08/23 07:30:00,EMERASF1,26.09
