SETTLEMENTDATE,DUID,SCADAVALUE
2019/08/21 02:05:00,BARCSF1,0.5
2019/08/21 02:05:00,BUTLERSG,9.699999
2019/08/21 02:05:00,CALL_A_4,0.0
2019/08/21 02:05:00,CAPTL_WF,130.220001
2019/08/21 02:05:00,CATHROCK,41.029999
2019/08/21 02:05:00,CHALLHWF,27.700001
2019/08/21 02:05:00,CLOVER,0.0
2019/08/21 02:05:00,CLUNY,20.688028
2019/08/21 02:05:00,CNUNDAWF,41.54847
2019/08/21 02:05:00,CULLRGWF,30.379998999999998
2019/08/21 02:05:00,ERGT01,0.0
2019/08/21 02:05:00,GB01,0.064728
2019/08/21 02:05:00,GERMCRK,37.099998
2019/08/21 02:05:00,GRIFSF1,0.0
2019/08/21 02:05:00,HUGSF1,-0.204
2019/08/21 02:05:00,LKBONNY1,76.627434
2019/08/21 02:05:00,LRSF1,0.029
2019/08/21 02:05:00,MBAHNTH,55.724991
2019/08/21 02:05:00,MLSP1,0.283001
2019/08/21 02:05:00,MLWF1,19.755001
2019/08/21 02:05:00,MTMILLAR,20.753819
2019/08/21 02:05:00,PALOONA,25.73
2019/08/21 02:05:00,PIONEER,28.0
2019/08/21 02:05:00,PORTWF,136.600006
2019/08/21 02:05:00,REPULSE,28.917067
2019/08/21 02:05:00,ROWALLAN,10.1388
2019/08/21 02:05:00,ROYALLA1,0.0
2019/08/21 02:05:00,RPCG,12.3
2019/08/21 02:05:00,RUBICON,0.0
2019/08/21 02:05:00,SATGN1,0.0
2019/08/21 02:05:00,SATGS1,0.0
2019/08/21 02:05:00,STARHLWF,14.795685999999998
2019/08/21 02:05:00,WAUBRAWF,164.397003
2019/08/21 02:05:00,WOOLNTH1,76.56002
2019/08/21 02:05:00,WPWF,43.0
2019/08/21 02:05:00,YAMBUKWF,29.799999
2019/08/21 02:05:00,YSWF1,28.6
2019/08/21 02:05:00,AGLHAL,0.0
2019/08/21 02:05:00,AGLSOM,0.0
2019/08/21 02:05:00,ANGAST1,0.0
2019/08/21 02:05:00,ARWF1,34.3
2019/08/21 02:05:00,BALBG1,0.0
2019/08/21 02:05:00,BALBL1,0.0
2019/08/21 02:05:00,BALDHWF1,101.286
2019/08/21 02:05:00,BANN1,0.0
2019/08/21 02:05:00,BARCALDN,0.0
2019/08/21 02:05:00,BARRON-1,0.0
2019/08/21 02:05:00,BARRON-2,0.0
2019/08/21 02:05:00,BASTYAN,79.73
2019/08/21 02:05:00,BBTHREE1,-2.1
2019/08/21 02:05:00,BBTHREE2,-2.11
2019/08/21 02:05:00,BBTHREE3,-1.21
2019/08/21 02:05:00,BDL01,0.0
2019/08/21 02:05:00,BDL02,0.0
2019/08/21 02:05:00,BERYLSF1,0.0
