SETTLEMENTDATE,DUID,SCADAVALUE
2019/08/20 18:15:00,BARCSF1,0.5
2019/08/20 18:15:00,BUTLERSG,9.599998
2019/08/20 18:15:00,CALL_A_4,0.0
2019/08/20 18:15:00,CAPTL_WF,134.14801
2019/08/20 18:15:00,CATHROCK,50.249996
2019/08/20 18:15:00,CHALLHWF,34.400002
2019/08/20 18:15:00,CLOVER,0.0
2019/08/20 18:15:00,CLUNY,18.339666
2019/08/20 18:15:00,CNUNDAWF,40.847649
2019/08/20 18:15:00,CULLRGWF,30.41
2019/08/20 18:15:00,ERGT01,0.0
2019/08/20 18:15:00,GB01,0.068241
2019/08/20 18:15:00,GERMCRK,25.1
2019/08/20 18:15:00,GRIFSF1,0.0
2019/08/20 18:15:00,HUGSF1,-0.103
2019/08/20 18:15:00,LKBONNY1,76.091576
2019/08/20 18:15:00,LRSF1,0.029
2019/08/20 18:15:00,MBAHNTH,54.487503000000004
2019/08/20 18:15:00,MLSP1,0.283001
2019/08/20 18:15:00,MLWF1,19.290001
2019/08/20 18:15:00,MTMILLAR,23.529427
2019/08/20 18:15:00,PALOONA,7.72
2019/08/20 18:15:00,PIONEER,10.400001
2019/08/20 18:15:00,PORTWF,137.199997
2019/08/20 18:15:00,REPULSE,29.152665999999996
2019/08/20 18:15:00,ROWALLAN,9.9897
2019/08/20 18:15:00,ROYALLA1,0.0
2019/08/20 18:15:00,RPCG,9.4
2019/08/20 18:15:00,RUBICON,0.0
2019/08/20 18:15:00,SATGN1,0.0
2019/08/20 18:15:00,SATGS1,0.0
2019/08/20 18:15:00,STARHLWF,25.592537
2019/08/20 18:15:00,WAUBRAWF,155.66499299999998
2019/08/20 18:15:00,WOOLNTH1,70.42002099999999
2019/08/20 18:15:00,WPWF,58.0
2019/08/20 18:15:00,YAMBUKWF,29.700001
2019/08/20 18:15:00,YSWF1,28.5
2019/08/20 18:15:00,AGLHAL,0.0
2019/08/20 18:15:00,AGLSOM,79.2
2019/08/20 18:15:00,ANGAST1,0.0
2019/08/20 18:15:00,ARWF1,46.7
2019/08/20 18:15:00,BALBG1,3.4
2019/08/20 18:15:00,BALBL1,0.0
2019/08/20 18:15:00,BALDHWF1,102.862
2019/08/20 18:15:00,BANN1,0.0
2019/08/20 18:15:00,BARCALDN,0.0
2019/08/20 18:15:00,BARRON-1,0.0
2019/08/20 18:15:00,BARRON-2,29.0
2019/08/20 18:15:00,BASTYAN,80.46001
2019/08/20 18:15:00,BBTHREE1,-1.91
2019/08/20 18:15:00,BBTHREE2,-2.06
2019/08/20 18:15:00,BBTHREE3,-1.02
2019/08/20 18:15:00,BDL01,0.0
2019/08/20 18:15:00,BDL02,42.84
2019/08/20 18:15:00,BERYLSF1,0.0
2019/08/20 18:15:00,BLOWERNG,0.0
2019/08/20 18:15:00,BLUFF1,34.9
2019/08/20 18:15:00,BNGSF1,1.04
2019/08/20 18:15:00,BNGSF2,0.35
2019/08/20 18:15:00,BOCORWF1,103.46
2019/08/20 18:15:00,BODWF1,51.49393
2019/08/20 18:15:00,BRAEMAR1,0.0
2019/08/20 18:15:00,BRAEMAR2,172.8
2019/08/20 18:15:00,BRAEMAR3,0.0
2019/08/20 18:15:00,BRAEMAR5,0.0
2019/08/20 18:15:00,BRAEMAR6,160.11883999999998
2019/08/20 18:15:00,BRAEMAR7,0.0
2019/08/20 18:15:00,BROKENH1,0.0
2019/08/20 18:15:00,BW01,655.44995
2019/08/20 18:15:00,BW02,664.375
2019/08/20 18:15:00,BW03,663.07495
2019/08/20 18:15:00,BW04,0.0
2019/08/20 18:15:00,CALL_B_1,349.89999
2019/08/20 18:15:00,CALL_B_2,294.89999
2019/08/20 18:15:00,CETHANA,94.53213000000001
2019/08/20 18:15:00,CG1,0.0
2019/08/20 18:15:00,CG2,0.0
2019/08/20 18:15:00,CG3,0.0
2019/08/20 18:15:00,CG4,0.0
2019/08/20 18:15:00,CHILDSF1,0.0
2019/08/20 18:15:00,CLARESF1,0.0
2019/08/20 18:15:00,CLEMGPWF,11.59764
2019/08/20 18:15:00,CLERMSF1,0.0
2019/08/20 18:15:00,COLEASF1,0.0
2019/08/20 18:15:00,COOPGWF1,31.667720000000003
2019/08/20 18:15:00,CPP_3,405.35001
2019/08/20 18:15:00,CPP_4,405.35001
2019/08/20 18:15:00,CPSA,142.44376
2019/08/20 18:15:00,CROOKWF2,83.51375
2019/08/20 18:15:00,CROWLWF1,50.64909
2019/08/20 18:15:00,CSPVPS1,0.019
2019/08/20 18:15:00,DALNTH01,0.0
2019/08/20 18:15:00,DALNTHL1,0.07172
2019/08/20 18:15:00,DARTM1,134.3
2019/08/20 18:15:00,DAYDSF1,0.0
2019/08/20 18:15:00,DDPS1,476.31094
2019/08/20 18:15:00,DDSF1,0.0
2019/08/20 18:15:00,DEVILS_G,60.22156999999999
2019/08/20 18:15:00,DG_NSW1,0.0
2019/08/20 18:15:00,DG_QLD1,0.0
2019/08/20 18:15:00,DG_SA1,0.0
2019/08/20 18:15:00,DG_TAS1,0.0
2019/08/20 18:15:00,DG_VIC1,0.0
2019/08/20 18:15:00,DRYCGT1,0.0
2019/08/20 18:15:00,DRYCGT2,0.0
2019/08/20 18:15:00,DRYCGT3,0.0
2019/08/20 18:15:00,EILDON1,0.0
2019/08/20 18:15:00,EILDON2,0.0
2019/08/20 18:15:00,EMERASF1,0.0
2019/08/20 18:15:00,ER01,592.47498
2019/08/20 18:15:00,ER02,640.0
2019/08/20 18:15:00,ER03,698.97498
2019/08/20 18:15:00,ER04,629.30005
2019/08/20 18:15:00,FINLYSF1,0.0
2019/08/20 18:15:00,FISHER,45.86
2019/08/20 18:15:00,GANNBG1,2.54002
2019/08/20 18:15:00,GANNBL1,0.0
2019/08/20 18:15:00,GANNSF1,0.0
2019/08/20 18:15:00,GORDON,10.753680000000001
2019/08/20 18:15:00,GSTONE1,221.55
2019/08/20 18:15:00,GSTONE2,219.8
2019/08/20 18:15:00,GSTONE3,221.89999
2019/08/20 18:15:00,GSTONE4,219.8
2019/08/20 18:15:00,GSTONE5,219.625
2019/08/20 18:15:00,GSTONE6,0.0
2019/08/20 18:15:00,GULLRSF1,0.0
2019/08/20 18:15:00,GULLRWF1,147.32861
2019/08/20 18:15:00,GUNNING1,43.79031
2019/08/20 18:15:00,GUTHEGA,31.2
2019/08/20 18:15:00,HALLWF1,88.99
2019/08/20 18:15:00,HALLWF2,64.85
2019/08/20 18:15:00,HAMISF1,0.0
2019/08/20 18:15:00,HAUGHT11,0.0
2019/08/20 18:15:00,HAYMSF1,0.0
2019/08/20 18:15:00,HDWF1,38.5
2019/08/20 18:15:00,HDWF2,31.2
