SETTLEMENTDATE,DUID,SCADAVALUE
2019/08/21 21:00:00,BARCSF1,0.7
2019/08/21 21:00:00,BUTLERSG,9.599998
2019/08/21 21:00:00,CALL_A_4,0.0
2019/08/21 21:00:00,CAPTL_WF,125.772003
2019/08/21 21:00:00,CATHROCK,29.689999
2019/08/21 21:00:00,CHALLHWF,39.599998
2019/08/21 21:00:00,CLOVER,-0.01
2019/08/21 21:00:00,CLUNY,20.073701999999997
2019/08/21 21:00:00,CNUNDAWF,41.348236
2019/08/21 21:00:00,CULLRGWF,30.23
2019/08/21 21:00:00,ERGT01,0.0
2019/08/21 21:00:00,GB01,0.072701
2019/08/21 21:00:00,GERMCRK,38.599998
2019/08/21 21:00:00,GRIFSF1,0.0
2019/08/21 21:00:00,HUGSF1,-0.243
2019/08/21 21:00:00,LKBONNY1,70.286469
2019/08/21 21:00:00,LRSF1,0.039
2019/08/21 21:00:00,MBAHNTH,55.856246999999996
2019/08/21 21:00:00,MLSP1,0.27100100000000005
2019/08/21 21:00:00,MLWF1,19.049999
2019/08/21 21:00:00,MTMILLAR,16.006262
2019/08/21 21:00:00,PALOONA,23.75
2019/08/21 21:00:00,PIONEER,31.9
2019/08/21 21:00:00,PORTWF,140.899994
2019/08/21 21:00:00,REPULSE,29.018387
2019/08/21 21:00:00,ROWALLAN,10.4086
2019/08/21 21:00:00,ROYALLA1,0.0
2019/08/21 21:00:00,RPCG,11.7
2019/08/21 21:00:00,RUBICON,0.0
2019/08/21 21:00:00,SATGN1,0.0
2019/08/21 21:00:00,SATGS1,0.0
2019/08/21 21:00:00,STARHLWF,14.795685999999998
2019/08/21 21:00:00,WAUBRAWF,173.610001
2019/08/21 21:00:00,WOOLNTH1,129.110016
2019/08/21 21:00:00,WPWF,31.0
2019/08/21 21:00:00,YAMBUKWF,29.6
2019/08/21 21:00:00,YSWF1,28.700001
2019/08/21 21:00:00,AGLHAL,0.0
2019/08/21 21:00:00,AGLSOM,0.0
2019/08/21 21:00:00,ANGAST1,0.0
2019/08/21 21:00:00,ARWF1,135.7
2019/08/21 21:00:00,BALBG1,0.0
2019/08/21 21:00:00,BALBL1,0.0
2019/08/21 21:00:00,BALDHWF1,101.33
2019/08/21 21:00:00,BANN1,0.0
2019/08/21 21:00:00,BARCALDN,0.0
2019/08/21 21:00:00,BARRON-1,0.0
2019/08/21 21:00:00,BARRON-2,27.96
2019/08/21 21:00:00,BASTYAN,78.60001
2019/08/21 21:00:00,BBTHREE1,-1.95
2019/08/21 21:00:00,BBTHREE2,-2.01
2019/08/21 21:00:00,BBTHREE3,-1.1
2019/08/21 21:00:00,BDL01,-0.06
2019/08/21 21:00:00,BDL02,0.0
2019/08/21 21:00:00,BERYLSF1,0.0
2019/08/21 21:00:00,BLOWERNG,0.0
2019/08/21 21:00:00,BLUFF1,10.1
2019/08/21 21:00:00,BNGSF1,0.0
2019/08/21 21:00:00,BNGSF2,0.0
2019/08/21 21:00:00,BOCORWF1,110.88
2019/08/21 21:00:00,BODWF1,87.47154
2019/08/21 21:00:00,BRAEMAR1,0.0
2019/08/21 21:00:00,BRAEMAR2,0.0
2019/08/21 21:00:00,BRAEMAR3,0.0
2019/08/21 21:00:00,BRAEMAR5,0.0
2019/08/21 21:00:00,BRAEMAR6,0.0
2019/08/21 21:00:00,BRAEMAR7,0.0
2019/08/21 21:00:00,BROKENH1,0.0
2019/08/21 21:00:00,BW01,648.625
2019/08/21 21:00:00,BW02,648.52502
2019/08/21 21:00:00,BW03,653.25
2019/08/21 21:00:00,BW04,0.0
2019/08/21 21:00:00,CALL_B_1,348.0
2019/08/21 21:00:00,CALL_B_2,346.60001
2019/08/21 21:00:00,CETHANA,99.02275
2019/08/21 21:00:00,CG1,0.0
2019/08/21 21:00:00,CG2,0.0
2019/08/21 21:00:00,CG3,0.0
2019/08/21 21:00:00,CG4,0.0
2019/08/21 21:00:00,CHILDSF1,0.01
2019/08/21 21:00:00,CLARESF1,0.0
2019/08/21 21:00:00,CLEMGPWF,38.75484
2019/08/21 21:00:00,CLERMSF1,0.0
2019/08/21 21:00:00,COLEASF1,0.0
2019/08/21 21:00:00,COOPGWF1,29.93822
2019/08/21 21:00:00,CPP_3,405.89999
2019/08/21 21:00:00,CPP_4,405.07501
2019/08/21 21:00:00,CPSA,142.37813
2019/08/21 21:00:00,CROOKWF2,90.15375
2019/08/21 21:00:00,CROWLWF1,38.53722
2019/08/21 21:00:00,CSPVPS1,0.043
2019/08/21 21:00:00,DALNTH01,0.0
2019/08/21 21:00:00,DALNTHL1,0.06867000000000001
2019/08/21 21:00:00,DARTM1,132.89999
2019/08/21 21:00:00,DAYDSF1,0.0
2019/08/21 21:00:00,DDPS1,614.1120599999999
2019/08/21 21:00:00,DDSF1,0.0
2019/08/21 21:00:00,DEVILS_G,0.0
2019/08/21 21:00:00,DG_NSW1,0.0
2019/08/21 21:00:00,DG_QLD1,0.0
2019/08/21 21:00:00,DG_SA1,0.0
2019/08/21 21:00:00,DG_TAS1,0.0
2019/08/21 21:00:00,DG_VIC1,0.0
2019/08/21 21:00:00,DRYCGT1,0.0
2019/08/21 21:00:00,DRYCGT2,0.0
2019/08/21 21:00:00,DRYCGT3,0.0
2019/08/21 21:00:00,EILDON1,0.0
2019/08/21 21:00:00,EILDON2,0.0
2019/08/21 21:00:00,EMERASF1,0.0
2019/08/21 21:00:00,ER01,588.0
2019/08/21 21:00:00,ER02,607.67493
2019/08/21 21:00:00,ER03,700.5
2019/08/21 21:00:00,ER04,685.97498
2019/08/21 21:00:00,FINLYSF1,0.0
2019/08/21 21:00:00,FISHER,45.78
2019/08/21 21:00:00,GANNBG1,0.01569
2019/08/21 21:00:00,GANNBL1,0.0
2019/08/21 21:00:00,GANNSF1,0.0
2019/08/21 21:00:00,GORDON,22.86368
2019/08/21 21:00:00,GSTONE1,207.02499
2019/08/21 21:00:00,GSTONE2,208.25
2019/08/21 21:00:00,GSTONE3,207.2
2019/08/21 21:00:00,GSTONE4,207.89999
